name,lat,lon,address,region,adm_zone
Абсолют Банк,55.770146,37.622523,"г. Москва, бул. Цветной, д. 18",Мещанский,ЦАО
Абсолют Банк,55.775655,37.683621,"г. Москва, ул. Бакунинская, д. 23/41",Басманный,ЦАО
Абсолют Банк,55.536639,37.530486,"г. Москва, ул. Южнобутовская, д. 61",Южное Бутово,ЮЗАО
Абсолют Банк,55.73414,37.664015,"г. Москва, ул. Воронцовская, д. 35 Б, корп. 2",Таганский,ЦАО
Абсолют Банк,55.767246,37.653245,"г. Москва, ул. Садовая-Черногрязская, д. 3 Б, стр. 1",Басманный,ЦАО
Абсолют Банк,55.744621,37.545683,"г. Москва, просп. Кутузовский, д. 24",Дорогомилово,ЗАО
Абсолют Банк,55.787046,37.560865,"г. Москва, просп. Ленинградский, д. 33, корп. 3",Беговой,САО
Абсолют Банк,55.650553,37.745655,"г. Москва, ул. Люблинская, д. 165",Марьино,ЮВАО
Абсолют Банк,55.731096,37.634509,"г. Москва, ул. Валовая, д. 2—4/44, стр. 1",Замоскворечье,ЦАО
Абсолют Банк,55.789273,37.678452,"г. Москва, пл. Сокольническая, д. 4, корп. 1—2",Сокольники,ВАО
Абсолют Банк,55.770473,37.623939,"г. Москва, пер. Малый Сухаревский, д. 7",Мещанский,ЦАО
Авангард,55.741263,37.614101,"г. Москва, ул. Большая Якиманка, д. 1",Якиманка,ЦАО
Авангард,55.803569,37.61839,"г. Москва, ул. Шереметьевская, д. 20",Марьина Роща,СВАО
Авангард,55.732233,37.6296,"г. Москва, 3-й Монетчиковский пер., д. 11, стр. 1",Замоскворечье,ЦАО
Авангард,55.863356,37.601546,"г. Москва, ул. Декабристов, д. 12",Отрадное,СВАО
Авангард,55.737633,37.618417,"г. Москва, ул. Большая Полянка, д. 24/2, стр. 4",Якиманка,ЦАО
Авангард,55.809469,37.464571,"г. Москва, ул. Щукинская, д. 42",Щукино,СЗАО
Авангард,55.641031,37.530346,"г. Москва, ул. Миклухо-Маклая, д. 32а",Коньково,ЮЗАО
Авангард,55.747363,37.707098,"г. Москва, ш. Энтузиастов, д. 12, корп. 2",Лефортово,ЮВАО
Авангард,55.788576,37.678685,"г. Москва, ул. Русаковская, д. 31",Сокольники,ВАО
Авангард,55.637741,37.75759,"г. Москва, ул. Ключевая, д. 6, корп. 1",Братеево,ЮАО
Авангард,55.863856,37.54568,"г. Москва, ш. Дмитровское, д. 89",Западное Дегунино,САО
Авангард,55.857236,37.431909,"г. Москва, ул. Героев Панфиловцев, д. 7",Северное Тушино,СЗАО
Авангард,55.84024,37.492024,"г. Москва, ш. Головинское, д. 5, корп. 1",Головинский,САО
Авангард,55.624632,37.709297,"г. Москва, ш. Каширское, д. 80",Орехово-Борисово Северное,ЮАО
Авангард,55.743649,37.508122,"г. Москва, просп. Багратионовский, д. 5",Филёвский Парк,ЗАО
Авангард,55.78169,37.705186,"г. Москва, ул. Большая Семеновская, д. 20, стр. 1",Соколиная Гора,ВАО
Авангард,55.653314,37.64613,"г. Москва, ш. Каширское, д. 26",Москворечье-Сабурово,ЮАО
Авангард,55.685804,37.854028,"г. Москва, ул. Генерала Кузнецова, д. 22",Выхино-Жулебино,ЮВАО
Авангард,55.653644,37.620698,"г. Москва, ш. Варшавское, д. 87 Б",Нагорный,ЮАО
Авангард,55.710692,37.675109,"г. Москва, ул. 7-я Кожуховская, д. 9",Южнопортовый,ЮВАО
